Mask,SN,X_n (m) (m),Y_n (m) (m),POMKH,cv_rabi_96_3-POMKH-Krig,cv_rabi_96_3-POMKH-Var,kme,ev,ratio
0,55,661884.54,3232154.171,3.45,3.008913425,2.65083519,0.441086575,0.194557367,0.073394743
0,56,673361.8671,3232384.355,2.1,4.315207637,2.3301455,-2.215207637,4.907144875,2.105939254
0,57,663948.3833,3220083.372,2.65,2.664749222,2.64550228,-0.014749222,0.00021754,8.223E-05
0,58,660131.0902,3222338.555,1.22,2.664353754,2.39011882,-1.444353754,2.086157767,0.872825965
0,59,649631.9383,3229277.631,3.25,2.426833319,2.88584036,0.823166681,0.677603385,0.234802796
0,60,676579.054,3207646.661,2.65,2.82561946,1.9954769,-0.17561946,0.030842195,0.015456052
0,61,675748.2608,3208865.578,2.92,2.722442431,1.91177839,0.197557569,0.039028993,0.020415019
0,62,681192.5247,3198326.952,2.92,2.062992056,3.33095462,0.857007944,0.734462616,0.220496134
0,63,692508.5804,3202205.14,1.19,2.538958415,3.69361628,-1.348958415,1.819688805,0.492657782
0,64,695676.8486,3207062.323,1.65,2.384431475,3.50618337,-0.734431475,0.539389591,0.153839527
0,65,691144.2916,3210958.577,3.8,1.467993428,3.16635996,2.332006572,5.438254652,1.717509923
0,66,674467.3352,3213002.818,2.74,3.030891822,2.26816669,-0.290891822,0.084618052,0.037306805
0,67,646325.2551,3234314.648,1.75,4.01400613,3.47972134,-2.26400613,5.125723757,1.473027078
0,68,661413.1581,3236827.486,2.9,3.954662714,3.01884226,-1.054662714,1.11231344,0.368456959
0,69,657999.5986,3229852.139,2.94,2.379309067,2.7950761,0.560690933,0.314374322,0.112474334
0,70,721188.8071,3354269.174,4.54,10.8335416,7.08294835,-6.293541604,39.60866592,5.592115594
0,71,739225.8931,3354649.593,11.72,4.801002626,11.4783625,6.918997374,47.87252466,4.170675448
0,72,715235.8217,3137471.922,3.45,2.03201701,13.551542,1.41798299,2.01067576,0.14837247
